Obs,Inputfile,YEAR,AUTHOR,AUTHOR_t,GENDER,Gender,AUTHORS,Par_per_doc,Zin_per_doc,Word_per_doc,Alpino_status,Let_per_wrd_zn,Morf_per_wrd_zn,Let_per_wrd_nsam,Wrd_freq_zn_log,Conc_bvnw_ruim_p,Conc_nw_ruim_p,Conc_ww_p,Alg_nw_p,Alg_ww_p,Pv_Frog_per_zin,Bijw_bep_dz,Bijv_bep_dz,Bijzin_per_zin,D_level,Wrd_per_dz,Mv_inbed_per_zin,MTLD_lem,Namen_p,Abstr_ww_p
48,input/GID_1955_57_Emmy van Lokhorst.txt,1955,Emmy van Lokhorst ,Emmy van Lokhorst,F,F,F.18,1,29,720,0,5.15543,1.43255,7.67647,4.22131,0.258621,0.458333,0.0446429,0.10119,0.142857,1.96552,1.16129,2.09677,1.10345,2.7931,11.6129,0.103448,85.869,0.206522,0.741071
49,input/GID_1957_77_Greshoff.txt,1957,Greshoff ,Greshoff,M,M,M.38,1,48,760,2,5.55703,1.51989,8.00758,4.29784,0.146667,0.226277,0.0425532,0.291971,0.29078,1.72917,0.931818,1.11364,NA,2.9375,8.63636,NA,22.9032,0.04,0.87234
50,input/GID_1915_61_H.T. Colenbrander.txt,1915,H.T. Colenbrander ,H.T. Colenbrander,M,M,M.1,1,30,686,0,5.0574,1.35801,6.9542,4.0403,0.194444,0.363636,0.0103093,0.198347,0.103093,2.3,0.968254,1.28571,1,3.8,10.8889,0.2,106.852,0.152866,0.865979
51,input/GID_1923_98_H.T. Colenbrander.txt,1923,H.T. Colenbrander ,H.T. Colenbrander,M,M,M.1,1,30,596,0,5.13172,1.43674,7.95699,4.27818,0.047619,0.3,0.017094,0.28,0.162393,2,1.06557,1.29508,1.46667,3.26667,9.77049,0.333333,87.4778,0.161017,0.820513
52,input/GID_1931_16_H.T. Colenbrander.txt,1931,H.T. Colenbrander ,H.T. Colenbrander,M,M,M.1,1,40,535,0,5.12428,1.43977,8.07527,4.24576,0.285714,0.215909,0.0108696,0.295455,0.163043,1.3,0.915254,1.35593,0.675,2.3,9.0678,0.15,84.6429,0.11215,0.815217
53,input/GID_1995_2_Hertmans.txt,1995,Hertmans ,Hertmans,M,M,M.31,1,20,502,0,5.40361,1.48193,7.85263,4.39269,0.106383,0.229167,0.0394737,0.21875,0.302632,2.2,1.5,1.8125,1.4,3.2,10.4583,0.25,101.288,0.038835,0.697368
54,input/NVT_1979_94_Hirs.txt,1979,Hirs ,Hirs,F,F,F.34,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,input/GID_1930_15_Holst-van der Schalk.txt,1930,Holst-van der Schalk ,Holst-van der Schalk,F,F,F.3,1,30,646,0,5.01433,1.42834,7.15789,4.13466,0.285714,0.303448,0.0707071,0.206897,0.10101,2.16667,0.825397,1.7619,1,2.5,10.254,0.166667,55.2279,0.113208,0.717172
56,input/DIE_1941_16_Holst-van der Schalken.txt,1941,Holst-van der Schalk,Holst-van der Schalk,F,F,F.3,1,19,535,0,5.62095,1.48,7.94531,3.65074,0.240741,0.351852,0,0.157407,0.0701754,1.89474,1.11765,3.73529,1.15789,2.73684,15.7353,0.105263,81.4287,0.0704225,0.807018
57,input/STR_1940_48_Janssen.txt,1940,Janssen ,Janssen,M,M,M.9,1,18,464,2,5.06763,1.38164,7.71429,4.10567,0.3125,0.630631,0.0666667,0.0540541,0.133333,2.27778,1.28205,1.76923,NA,2.83333,11.8974,NA,15.0589,0.381679,0.716667
58,input/NVT_1961_75_Jonckheere.txt,1961,Jonckheere ,Jonckheere,M,M,M.24,1,33,525,0,4.75382,1.33779,6.9798,4.45705,0.275862,0.389474,0.021978,0.126316,0.142857,1.87879,0.967213,0.786885,0.636364,2.60606,8.60656,0.030303,68.018,0.00970874,0.912088
59,input/NVT_1946_22_Jonckheere.txt,1946,Jonckheere ,Jonckheere,M,M,M.24,1,17,521,0,4.19721,1.27888,5.5977,4.36295,0.272727,0.764045,0.111111,0.011236,0.0909091,3.94118,1.02857,0.657143,2.70588,3.11765,7.44286,0.941176,120.706,0.175926,0.686869
60,input/DIE_1931_77_Koenen.txt,1931,Koenen ,Koenen,F,F,F.24,1,11,544,0,4.80864,1.34156,7.5,3.43286,0.333333,0.740458,0.176471,0.0152672,0.0294118,1.63636,1.78261,4.52174,0.636364,3.09091,23.6522,0.0909091,70.0703,0.322222,0.411765
61,input/GID_1985_106_Kusters.txt,1985,Kusters ,Kusters,M,M,M.10,1,32,678,3,4.65842,1.37249,6.37209,4.57114,0.219512,0.467949,0.145455,0.115385,0.154545,2.34375,0.875,1.1125,NA,3.09375,8.475,NA,9.24944,0.190184,0.572727
62,input/DIE_1994_75_Kusters.txt,1994,Kusters ,Kusters,M,M,M.40,1,24,462,1,5.00472,1.40094,6.9878,4.13833,0.121212,0.538462,0.0266667,0.105769,0.133333,2.04167,0.979592,1.20408,NA,3.33333,9.42857,NA,12.5381,0.311475,0.786667
